iter	Passed	Remaining
0	58	58595
1	59	29553
2	59	19799
3	60	14963
4	60	12056
5	61	10127
6	61	8746
7	61	7686
8	62	6889
9	62	6226
10	63	5693
11	63	5249
12	64	4886
13	64	4577
14	65	4303
15	65	4055
16	66	3841
17	66	3645
18	67	3469
19	67	3307
20	67	3163
21	68	3033
22	68	2914
23	69	2811
24	69	2717
25	70	2624
26	70	2536
27	70	2455
28	71	2379
29	71	2309
30	71	2246
31	72	2185
32	72	2129
33	73	2077
34	73	2032
35	74	1982
36	74	1940
37	75	1901
38	75	1863
39	76	1828
40	76	1794
41	77	1762
42	77	1731
43	78	1700
44	78	1668
45	79	1641
46	79	1614
47	79	1586
48	80	1558
49	80	1534
50	81	1511
51	81	1487
52	81	1464
53	82	1442
54	82	1420
55	83	1399
56	83	1379
57	83	1358
58	84	1342
59	84	1327
60	85	1309
61	85	1292
62	85	1278
63	86	1262
64	86	1245
65	86	1230
66	87	1216
67	87	1198
68	87	1184
69	88	1171
70	88	1158
71	88	1145
72	89	1132
73	89	1122
74	90	1111
75	90	1099
76	90	1087
77	91	1076
78	91	1066
79	91	1057
80	92	1046
81	92	1036
82	92	1026
83	93	1017
84	93	1008
85	94	1001
86	94	990
87	94	983
88	95	975
89	95	966
90	95	958
91	96	950
92	96	942
93	97	935
94	97	928
95	97	922
96	98	915
97	98	907
98	98	900
99	99	893
100	99	887
101	99	879
102	100	873
103	100	866
104	101	861
105	101	855
106	101	849
107	102	844
108	102	838
109	102	833
110	103	828
111	103	823
112	104	818
113	104	812
114	104	807
115	105	803
116	105	799
117	106	794
118	106	788
119	106	783
120	107	778
121	107	773
122	107	767
123	108	763
124	108	758
125	108	754
126	109	750
127	109	744
128	109	740
129	109	735
130	110	731
131	110	727
132	111	724
133	111	720
134	111	716
135	112	712
136	112	708
137	112	704
138	113	700
139	113	696
140	113	693
141	114	689
142	114	686
143	114	682
144	115	678
145	115	675
146	115	671
147	116	667
148	116	664
149	116	661
150	117	658
151	117	654
152	117	652
153	118	649
154	118	646
155	119	645
156	119	642
157	119	639
158	120	636
159	120	633
160	121	631
161	121	628
162	121	625
163	122	623
164	122	621
165	123	618
166	123	615
167	123	613
168	124	611
169	124	608
170	125	606
171	125	603
172	125	600
173	126	598
174	126	595
175	126	594
176	127	592
177	127	589
178	128	587
179	128	585
180	128	583
181	129	580
182	129	578
183	129	576
184	130	574
185	130	572
186	131	570
187	131	568
188	132	566
189	132	564
190	132	562
191	133	560
192	133	558
193	133	556
194	134	554
195	134	551
196	134	549
197	135	548
198	135	546
199	136	544
200	136	542
201	136	540
202	137	539
203	137	537
204	138	535
205	138	533
206	138	531
207	139	529
208	139	528
209	140	527
210	140	525
211	141	524
212	141	522
213	141	521
214	142	519
215	142	518
216	143	516
217	143	514
218	143	513
219	144	511
220	144	509
221	144	507
222	145	506
223	145	504
224	146	503
225	146	501
226	146	499
227	147	498
228	147	496
229	147	495
230	148	493
231	148	492
232	149	490
233	149	489
234	149	487
235	150	485
236	150	484
237	150	483
238	151	482
239	151	480
240	152	479
241	152	477
242	152	476
243	153	475
244	153	473
245	154	472
246	154	471
247	154	469
248	155	468
249	155	467
250	156	465
251	156	464
252	156	462
253	157	461
254	157	460
255	157	458
256	158	457
257	158	455
258	158	454
259	159	453
260	159	451
261	159	450
262	160	449
263	160	448
264	161	446
265	161	445
266	161	444
267	162	442
268	162	441
269	162	440
270	163	439
271	163	437
272	163	436
273	164	434
274	164	433
275	164	432
276	165	431
277	165	429
278	165	428
279	166	427
280	166	426
281	167	425
282	167	424
283	167	423
284	168	422
285	168	421
286	169	419
287	169	419
288	169	417
289	170	416
290	170	415
291	170	414
292	171	413
293	171	411
294	171	410
295	172	409
296	172	408
297	172	407
298	173	406
299	173	405
300	174	404
301	174	403
302	174	401
303	175	401
304	175	399
305	175	398
306	176	397
307	176	396
308	176	395
309	177	394
310	177	393
311	177	392
312	178	391
313	178	389
314	178	388
315	179	387
316	179	386
317	179	385
318	179	384
319	180	382
320	180	381
321	180	380
322	181	379
323	181	378
324	181	377
325	181	376
326	182	375
327	182	373
328	182	372
329	183	371
330	183	370
331	183	369
332	184	368
333	184	367
334	184	366
335	184	365
336	185	364
337	185	363
338	185	362
339	186	361
340	186	360
341	186	359
342	187	358
343	187	357
344	187	356
345	188	355
346	188	354
347	188	353
348	189	352
349	189	351
350	189	350
351	189	349
352	190	348
353	190	347
354	190	346
355	191	345
356	191	344
357	191	343
358	191	342
359	192	341
360	192	340
361	192	339
362	193	338
363	193	337
364	193	337
365	193	336
366	194	335
367	194	334
368	194	333
369	195	332
370	195	331
371	195	330
372	196	329
373	196	328
374	196	327
375	196	326
376	197	325
377	197	324
378	197	323
379	198	323
380	198	322
381	198	321
382	198	320
383	199	319
384	199	318
385	199	317
386	200	316
387	200	316
388	200	315
389	200	314
390	201	313
391	201	312
392	201	311
393	202	310
394	202	310
395	202	309
396	203	308
397	203	307
398	203	306
399	204	306
400	204	305
401	205	305
402	205	304
403	206	303
404	206	303
405	206	302
406	206	301
407	207	300
408	207	299
409	207	298
410	207	298
411	208	297
412	208	296
413	208	295
414	209	294
415	209	294
416	209	293
417	210	292
418	210	291
419	210	290
420	211	290
421	211	289
422	211	288
423	211	287
424	212	287
425	212	286
426	212	285
427	213	284
428	213	284
429	213	283
430	214	282
431	214	281
432	214	280
433	214	280
434	215	279
435	215	278
436	215	277
437	215	277
438	216	276
439	216	275
440	216	274
441	217	274
442	217	273
443	217	272
444	218	271
445	218	271
446	218	270
447	219	269
448	219	269
449	219	268
450	219	267
451	220	266
452	220	266
453	220	265
454	221	264
455	221	264
456	221	263
457	221	262
458	222	261
459	222	261
460	222	260
461	223	259
462	223	259
463	223	258
